Genre_es,Español,Genre_fr,Français,Catégorie,Détails
,Por fin,,Enfin,Adverbe,
,así,,"ainsi, comme ça",Adverbe,
la,vaca,f,vache,Animal,
el,cerdo,m,cochon,Animal,
el,búho,m,hibou,Animal,
el,pez / peces,m,poisson,Animal,
,Léon,m,lion,Animal,
,elefante,m,éléphant,Animal,
el,teatro,m,théâtre,Arts,
la,poesia,f,poésie,Arts,
la,moda,f,mode,Arts,
la,danza,f,danse,Arts,
la,literatura,f,littérature,Arts,
la,fotografía,f,photographie,Arts,
el,cuadro,m,tableau,Arts,
el,escenario,f,scène,Arts,
el,espectáculo,m,spectacle,Arts,
la,actuación,m,jeu,Arts,jeu d’un acteur
la,tienda,m,Magasin,Bâtiment,
la,carne,f,Viande,Bouffe,
la,sal,m,Sel,Bouffe,
el,tomate,f,Tomate,Bouffe,
el,pan,m,Pain,Bouffe,
el,pescado,m,Poisson,Bouffe,
la,ensalada,f,Salade,Bouffe,
el,salmón,m,Saumon,Bouffe,
la,patatas fritas,f,Frites,Bouffe,
la,mantequilla,m,Beurre,Bouffe,
el,almuerzo,m,dîner,Bouffe,
la,cena,m,souper,Bouffe,
el,desayuno,m,déjeuner,Bouffe,
el,cereal,f,Céréale,Bouffe,
el,helado,f,Crème Glacée,Bouffe,
el,batido,,smoothie / milkshake / whipped,Bouffe,
el,vegetales,,végétaux,Bouffe,
la,fruta,,fruits,Bouffe,
la,papa,,potato,Bouffe,
el,melón,,melon,Bouffe,
el,huevo,,Un oeuf,Bouffe,
la,cebolla,,oignon,Bouffe,
la,proteina,,la proteine,Bouffe,
el,emparedado,,le sandwich,Bouffe,
el,limón,,citron,Bouffe,
,trece,,13,Chiffre,
,veinte,,20,Chiffre,
,catorce,,14,Chiffre,
,dieciséis,,16,Chiffre,
,dieciocho,,18,Chiffre,
,diecinueve,,19,Chiffre,
,diecisiete,,17,Chiffre,
,cuatrocientos,,400,Chiffre,
,veintiuno,,21,Chiffre,
,veintidos,,22,Chiffre,
,veinticuatro,,24,Chiffre,
,treinta,,30,Chiffre,
,cincuenta,,50,Chiffre,
,sesenta,,60,Chiffre,
,cuarenta,,40,Chiffre,
,noventa,,90,Chiffre,
,cien,,100,Chiffre,
,mil,,1000,Chiffre,
,millones,,1000000,Chiffre,
,quinientos,,500,Chiffre,
el,artículos,,"articles, items, better, best",Chose,
el,pelo,,"cheveux, poil",Corps,
la,cara,,face,Corps,
,cabello,,cheveux,Corps,
le,pie / pies,,le pied,Corps,
la,oreja,,l’oreille,Corps,
la,nariz,,nez,Corps,
la,cabeza,,tête,Corps,
la,boca,,bouche,Corps,
el,cuerpo,,le corps,Corps,
el,brazo,,le bras,Corps,
la,pierna,,jambe,Corps,
la,barba,,barbe,Corps,
la,espalda,,Le dos,Corps,
el,Dedo,,Le doigt,Corps,
el,Cuello,,le cou,Corps,
el,pecho,,"Le torse, la poitrine",Corps,
la,piel,,"La peau, cuir",Corps,
el,Estómago,,L’estomac,Corps,
el,Frente,,Le front,Corps,
el,pelo,,Le poil,Corps,
el,Hombro,,L’épaule,Corps,
el,rodilla,,Le genou,Corps,
la,lengua,,la langue,Corps,
el,labio,,la lèvre,Corps,
la,sangre,,le sang,Corps,
el,codo,,le coude,Corps,
el,corazón,,le coeur,Corps,
la,lagrima,,la larme,Corps,
el,ojo,,l’oeil,Corps,
el,marrón,,brun,Couleur,
el,negro,,noir,Couleur,
el,amarillo,,jaune,Couleur,amarilla
,moreno,,black skin / dark haired,Couleur,
,rubio,,blond,Couleur,
el,morado / morada,,violet,Couleur,
,gris,,gris,Couleur,
,naranja,,orange,Couleur,
la,sartén,,poêle,Cuisine,
el,horno,,un four,Cuisine,
el,aula,,classroom,Ecole,
el,parque,,parc,Endroit,
,cerca,,near,État,
,alto / alta,,gran,État,
,bajo / baja,,"petit, dessous",État,
,menor,,plus jeune,État,
,sucio,,sale,État,
,guapo / guapa,,joli,État,
,perezoso / perezosa,,paresseux,État,
,responsable,,responsable,État,
la,hambre,,faim,État,
,caliente,,chaud,État,
,rápido,,rapide,État,
,de verdad,,pour vrai,Expression,
,taller de reparación de carros,,auto repair shop,Expression,
,entonces,,alors,Expression,
,Qué precio tiene la camisa,,How much is the shirt,Expression,
,tengo ganas,,"feel like, win, earn",Expression,
,por supuesto,,bien sûr,Expression,
el,esposo,,"mari, époux",Famille,
